银行账户,交易时间,对方户名,摘要,收入,支出
546350001234,2017/1/16,白山************,付白山," 5,241,602.82 ",
546350001234,2017/1/16,深圳**********,," 2,785,457.50 ",
546350001234,2017/1/16,广西*************,," 2,022,590.00 ",
546350001234,2017/1/16,深圳*************,," 1,875,125.00 ",
546350001234,2017/1/16,国网***************,," 1,592,569.55 ",
546350001234,2017/1/16,,电费," 1,020,000.00 ",
546350001234,2017/3/15,*****,, - ," 5,441,604.84 "
546350001234,2017/3/16,深圳**********,, - ," 4,785,457.50 "
546350001234,2017/3/16,深圳*************,, - ," 1,875,145.00 "
546350001234,2017/3/16,,江西国网电力,," 1,594,569.55 "
546350001234,2017/3/16,北京***********,,," 1,040,000.00 "
546350001234,2017/3/16,,,, 134.00 
546350001234,2017/3/16,,,," 1,234.00 "
546350001234,2017/3/26,广西*************,,," 4,044,590.00 "
546350001234,2017/4/16,,,," 123,456.00 "
546350001234,2017/4/26,北京***********,,," 63,464,363.00 "
546350001234,2017/6/28,,,," 12,124,124.00 "
159350001289,2017/1/16,白山************,," 5,241,602.82 ",
159350001289,2017/1/16,深圳**********,," 2,785,457.50 ",
159350001289,2017/1/16,广西*************,," 2,022,590.00 ",
159350001289,2017/1/16,深圳*************,," 1,875,000.00 ",
159350001289,2017/1/16,深圳*************,, 125.00 ,
159350001289,2017/1/16,国网***************,," 1,592,569.55 ",
159350001289,2017/1/16,北京***********,," 1,020,000.00 ",
159350001289,2017/3/15,*****,,," 5,441,604.84 "
159350001289,2017/3/16,深圳**********,,," 4,785,457.50 "
159350001289,2017/3/16,广西*************,,," 4,044,590.00 "
159350001289,2017/3/16,深圳*************,,," 1,875,145.00 "
159350001289,2017/3/16,国网***************,,," 1,594,569.55 "
159350001289,2017/3/16,北京***********,,," 1,040,000.00 "
159350001289,2017/3/16,,,, 134.00 
159350001289,2017/3/16,,,," 1,245.00 "
159350001289,2017/4/16,,,," 123,456.00 "
159350001289,2017/4/17,,,," 63,464,363.00 "
159350001289,2017/6/28,,,," 12,124,124.00 "
500012763,2017/1/16,白山************,," 5,241,602.82 ",
500012763,2017/1/16,深圳**********,," 2,785,457.50 ",
500012763,2017/1/16,广西*************,," 2,022,590.00 ",
500012763,2017/1/16,深圳*************,," 1,875,125.00 ",
500012763,2017/1/16,国网***************,," 1,592,569.55 ",
500012763,2017/1/16,北京***********,," 1,020,000.00 ",
500012763,2017/3/15,*****,,," 5,441,604.84 "
500012763,2017/3/16,深圳**********,,," 4,785,457.50 "
500012763,2017/3/16,广西*************,,," 4,044,590.00 "
500012763,2017/3/16,深圳*************,,," 1,875,145.00 "
500012763,2017/3/16,国网***************,,," 1,594,569.55 "
500012763,2017/3/16,北京***********,,," 1,040,000.00 "
500012763,2017/3/16,,,, 134.00 
500012763,2017/3/16,,,," 1,234.00 "
500012763,2017/4/16,,,," 123,456.00 "
500012763,2017/4/17,,,," 63,464,363.00 "
500012763,2017/6/28,,,," 12,124,124.00 "
